Aire sur La Lys;AIRE SUR LA LYS;62120;50.636688;2.412432
Aix en Provence;AIX EN PROVENCE CEDEX 04;13546;43.505883;5.396007
Alençon;ALENCON;61000;48.4330682271435;0.0617240305969062
Amiens;AMIENS CEDEX 02;80085;49.920874;2.303252
Angers Saint Serge;ANGERS;49100;47.48715;-0.53906
Anglet Bab2;ANGLET;64600;43.488072;-1.499184
Angoulins;ANGOULINS;17690;46.11218;-1.10341
Armentieres;ARMENTIERES;59280;50.689477;2.88628
Carré Sénart;LIEUSAINT CEDEX;77563;48.61297;2.54793
Chalon sur Saône Sud;CHALON SUR SAONE;71100;46.774411;4.8613
Chalon-sur-Saône Nord;CHALON SUR SAONE;71100;46.7982025;4.84736
Chateauneuf Les Martigues;CHATEAUNEUF LES MARTIGUES;13220;43.393309;5.132862
Cholet;CHOLET;49300;47.07649;-0.843669
Claira;CLAIRA;66530;42.776706;2.912223
Claye Souilly;CLAYE-SOUILLY CEDEX;77413;48.947365;2.663726
Cluses;CLUSES;74300;46.068223;6.569136
Collégien;COLLEGIEN;77090;48.837383;2.661095
Condé sur L'escaut;Condé sur l'Escaut;59163;50.4522;3.59073
Coquelles;COQUELLES;62231;50.93445;1.807719
Crêches sur Saône;CRECHES SUR SAONE;71680;46.252955;4.792065
Créteil Soleil;Créteil;94012;48.777991;2.456828
Cusset;Cusset;3300;46.136611;3.434032
Dax;DAX;40100;43.70927;-1.042542
Denain;DENAIN;59220;50.325851;3.390343
Digne Les Bains;DIGNE-les-BAINS;4000;44.077122;6.189335
Dijon;DIJON;21000;47.356759;5.052407
Douai Flers;FLERS EN ESCREBIEUX;59128;50.397535;3.047028
Draguignan;DRAGUIGNAN;83300;43.54109;6.46473
Drancy;DRANCY;93700;48.92064;2.42094
Ecully;ECULLY;69130;45.788564;4.775131
Epernay;EPERNAY;51200;49.049182;3.961266
Epinal;JEUXEY;88000;48.196937;6.479222
Etampes;ETAMPES;91150;48.42986;2.159506
Evreux;GUICHAINVILLE;27930;49.013197;1.173534
Evry;EVRY CEDEX;91022;48.629507;2.426794
Fécamp;FECAMP;76400;49.75434;0.37304
Ferney Voltaire;FERNEY VOLTAIRE;1210;46.254434;6.119774
Feurs;FEURS;42110;45.721289;4.227272
Flers;Flers;61100;48.754499;-0.577551
Flins sur Seine;FLINS SUR SEINE;78410;48.96512;1.861821
Fougères;FOUGERES;35300;48.347168;-1.180912
Fourmies;FOURMIES;59610;50.01552;4.04655
Francheville;FRANCHEVILLE;69340;45.733531;4.774126
Gennevilliers;GENNEVILLIERS CEDEX;92231;48.925276;2.291941
Givors;GIVORS CEDEX;69702;45.584707;4.753138
Goussainville;Goussainville;95194;49.021141;2.456211
Grand'Place Echirolles;ECHIROLLES CEDEX;38431;45.158148;5.72591
Grenoble Meylan;MEYLAN CEDEX;38246;45.202762;5.763378
Gruchet Le Valasse;GRUCHET LE VALASSE;76210;49.549780219552;0.493534417095265
Guéret;GUERET;23000;46.167539;1.885796
Guingamp;GRACES GUINGAMP;22200;48.562369;-3.165727
Hazebrouck;HAZEBROUCK;59190;50.739079;2.546205
Hérouville Saint Clair;HEROUVILLE SAINT CLAIR CEDEX;14204;49.20753;-0.32958
Issoire;ISSOIRE;63500;45.54848;3.26237
Ivry sur Seine;IVRY SUR SEINE;94200;48.81835;2.39519
L'haÿ Les Roses;L'HAY LES ROSES;94240;48.783857;2.345366
L'isle Adam;L'ISLE ADAM;95290;49.126012;2.243228
L'Isle d'Abeau;L'ISLE D'ABEAU;38080;45.61157;5.22731
La Ciotat;LA CIOTAT;13600;43.187423;5.602151
La Roche sur Yon - St André D'Ornay;LA ROCHE SUR YON;85000;46.665567;-1.452835
La Ville du Bois;LA VILLE DU BOIS;91620;48.668866;2.273895
Labège;LABEGE;31670;43.549386;1.509733
Laon;LAON;2000;49.548489;3.613426
Lattes;LATTES;34970;43.582581;3.931106
Laval;LAVAL CEDEX;53002;48.079378;-0.801431
Le Crès;Le Crès;34920;43.642704353847;3.942679951632
Le Mans;LE MANS CEDEX;72019;47.97081;0.21766
Les Ulis;LES ULIS CEDEX;91942;48.676835;2.169333
Lescar;LESCAR;64230;43.316129;-0.427578
Lesparre;Lesparre Médoc;33340;45.310914;-0.940914
Libourne;LIBOURNE;33500;44.900829;-0.220198
Liévin;LIEVIN CEDEX;62802;50.421047;2.769848
Lille;LILLE;59777;50.637156;3.075506
Limay;LIMAY;78520;48.990184;1.755498
Limoges Boisseuil;BOISSEUIL CEDEX;87223;45.778357;1.308618
Lomme;LOMME CEDEX;59461;50.652431;2.976368
Lorient;LORIENT;56100;47.762636;-3.391797
Lormont;LORMONT CEDEX;33306;44.866842;-0.516287
Lyon Confluence;LYON;69002;45.740664;4.818086
Lyon Part Dieu;LYON CEDEX 03;69431;45.760152;4.855131
Mably;ROANNE;42300;46.066106;4.060115
Margencel;MARGENCEL;74200;46.345343;6.434841
Marseille Grand Littoral;MARSEILLE CEDEX 16;13463;43.3631737937217;5.3494136180147
Marseille Le Merlan;MARSEILLE;13014;43.330018;5.399926
Maubeuge;MAUBEUGE;59600;50.290175;3.97657
Mérignac;Merignac;33700;44.828745;-0.655883
Monaco;MONACO CEDEX 4;98000;43.730442;7.416988
Mondeville;MONDEVILLE CEDEX;14125;49.165919;-0.291863
Mont De Marsan;Mont-de-Marsan;40000;43.901514;-0.480207
Mont Saint Aignan;MONT ST AIGNAN;76130;49.470124;1.094351
Montélimar;Montélimar;26200;44.532405;4.748329
Montereau;MONTEREAU-FAULT-YONNE;77130;48.39787;2.9541
Montesson;MONTESSON;78360;48.928247;2.143541
